feature,shap_importance
appointment_scheduled_date_54,0.00034878188
appointment_last_modified_date_2018,0.00034613206
appointment_scheduled_date_58,0.00034395396
appointment_scheduled_date_55,0.0003368346
appointment_last_modified_date_54,0.00033666188
appointment_last_modified_date_27,0.0003322011
appointment_last_modified_date_30,0.00032908237
appointment_scheduled_date_06,0.00032424336
appointment_date_time_19,0.0003236924
appointment_date_time_31,0.0003222718
appointment_last_modified_date_28,0.00032136482
appointment_last_modified_date_2021,0.00031070504
appointment_date_time_20,0.00030462773
appointment_scheduled_date_20,0.00030330065
appointment_scheduled_date_18,0.00029914072
appointment_scheduled_date_27,0.00028976434
appointment_scheduled_date_46,0.00028792326
appointment_date_time_49,0.00027826114
appointment_last_modified_date_20,0.0002780122
appointment_date_time_50,0.00027575725
appointment_date_time_06,0.00027309655
appointment_last_modified_date_41,0.00026668623
appointment_date_time_24,0.0002546258
appointment_last_modified_date_37,0.00025180256
appointment_last_modified_date_22,0.00024887137
appointment_date_time_18,0.00024731734
appointment_scheduled_date_36,0.0002457136
appointment_scheduled_date_57,0.00024322563
appointment_scheduled_date_16,0.00024170947
appointment_last_modified_date_36,0.00023353449
appointment_date_time_33,0.00023242064
appointment_scheduled_date_25,0.00022699637
appointment_scheduled_date_43,0.00022324629
appointment_scheduled_date_56,0.00021967397
appointment_date_time_29,0.00021772024
appointment_date_time_35,0.00021771657
appointment_date_time_27,0.0002128599
appointment_date_time_58,0.00021051819
appointment_last_modified_date_31,0.00020503126
appointment_last_modified_date_57,0.00019983096
appointment_scheduled_date_05,0.00019845496
appointment_scheduled_date_45,0.00019614413
appointment_scheduled_date_42,0.00019137704
appointment_scheduled_date_44,0.00018963352
custom_client_site,0.00018219439
appointment_scheduled_date_28,0.00017618256
appointment_last_modified_date_24,0.00017439156
appointment_scheduled_date_47,0.00016650163
appointment_last_modified_date_40,0.00016577276
appointment_last_modified_date_51,0.00016484308
appointment_scheduled_date_41,0.0001628304
appointment_scheduled_date_48,0.00016263421
appointment_last_modified_date_50,0.00015728109
appointment_last_modified_date_56,0.00015359167
appointment_date_time_2017,0.00015320924
appointment_last_modified_date_18,0.00015195228
appointment_last_modified_date_39,0.00014757237
appointment_scheduled_date_37,0.00014160248
appointment_last_modified_date_2022,0.0001414041
appointment_date_time_32,0.00014014571
appointment_date_time_52,0.00013939776
appointment_date_time_42,0.0001332603
appointment_last_modified_date_48,0.00013266562
appointment_scheduled_date_22,0.00013262262
appointment_start_time_hour,0.00013198276
patient_id_2_303801_17,0.00013178999
appintmentWithin5DayHoliday,0.0001305605
appointment_last_modified_date_25,0.00012842841
appintmentWithin3DayHoliday,0.00012378667
appointment_date_time_59,0.00011675254
appointment_date_time_41,0.00011405886
patient_id_2_303801_542251,0.000112688045
appointment_date_qt,0.000110407374
appointment_date_time_36,0.00010995182
appointment_scheduled_date_2017,0.000104661536
appointment_date_time_47,0.00010366347
appointment_scheduled_date_40,0.00010362084
patient_id_2_303801_540943,9.79626e-05
appointment_last_modified_date_45,9.529399e-05
appointment_scheduled_date_52,9.050633e-05
appointment_last_modified_date_42,9.0269394e-05
appointment_date_time_23,8.5112195e-05
patient_id_2_325503_116754,7.426578e-05
appointment_last_modified_date_33,7.2480856e-05
appointment_scheduled_date_38,7.1344555e-05
appointment_date_time_2022,6.610785e-05
appointment_date_time_43,6.56252e-05
appointment_date_time_54,6.523074e-05
appointment_date_time_34,5.70392e-05
geocode_longitude,5.5123768e-05
appointment_scheduled_date_53,5.3014646e-05
appointment_date_time_53,5.0390114e-05
patient_id_2_303801_540960,4.9533657e-05
appointment_date_time_56,4.8717564e-05
appointment_date_time_44,4.503911e-05
appointment_scheduled_date_2016,4.4311913e-05
appointment_date_time_38,4.2159918e-05
patient_id_2_29501_84096,4.108393e-05
appintmentWithin7DayHoliday,3.9678464e-05
patient_id_2_303802_542251,3.7667996e-05
patient_id_2_303802_616452,3.766275e-05
patient_id_2_303801_398747,3.6862813e-05
appointment_last_modified_date_2016,3.6653648e-05
patient_id_2_26501_21970,3.296227e-05
appointment_date_time_57,3.1952844e-05
patient_id_2_301903_109367,2.9812001e-05
patient_id_2_29501_76679,2.9146402e-05
patient_id_2_303801_434613,2.8471293e-05
patient_id_2_303801_390236,2.5546005e-05
patient_id_2_29501_60753,2.2609376e-05
patient_id_2_303802_543547,2.1148166e-05
patient_id_2_303802_17,1.9192534e-05
appointment_date_time_51,1.7061908e-05
patient_id_2_301902_109367,1.646688e-05
patient_id_2_303801_601355,1.5068823e-05
appointment_date_time_28,1.4935408e-05
patient_id_2_301901_109367,1.4810339e-05
patient_id_2_25401_1477,1.4186387e-05
patient_id_2_29501_100668,1.368793e-05
patient_id_2_303801_595770,1.3055205e-05
patient_id_2_29501_50907,1.2733881e-05
patient_id_2_325501_49495,1.2722807e-05
patient_id_2_325508_171958,1.1459365e-05
patient_id_2_303207_125984,1.1458598e-05
appointment_date_time_2016,9.0571275e-06
appointment_scheduled_date_2022,7.757622e-06
patient_id_2_29501_58207,7.730977e-06
patient_id_2_303801_580068,7.3632223e-06
patient_id_2_325506_166354,6.667776e-06
weather_conditions,6.159249e-06
patient_id_2_29501_95456,5.850365e-06
patient_id_2_325506_72519,5.6800677e-06
patient_id_2_325518_451042,4.2232546e-06
patient_id_2_325501_164208,2.7495594e-06
patient_id_2_29501_100048,1.6738414e-06
patient_id_2_325512_147659,1.5021758e-06
patient_id_2_301903_107361,1.4580437e-06
patient_id_2_318601_160002,9.2563573e-07
patient_id_2_318601_151936,9.0091976e-07
patient_id_2_303801_596244,0.0
patient_id_2_303801_541416,0.0
patient_id_2_303801_596301,0.0
patient_id_2_303801_596410,0.0
patient_id_2_303801_430099,0.0
custom_client,0.0
patient_id_2_303801_367511,0.0
patient_id_2_303801_596411,0.0
patient_id_2_303801_596414,0.0
patient_id_2_303801_602951,0.0
patient_id_2_303801_607181,0.0
patient_id_2_303802_430099,0.0
patient_id_2_303207_280310,0.0
geocode_city,0.0
patient_id_2_303206_290564,0.0
patient_id_2_301903_69164,0.0
patient_id_2_301901_79527,0.0
patient_id_2_301902_107678,0.0
patient_id_2_301902_62714,0.0
patient_id_2_301903_100897,0.0
patient_id_2_301903_107239,0.0
patient_id_2_301903_109666,0.0
patient_id_2_301903_57415,0.0
patient_id_2_301903_62714,0.0
patient_id_2_303201_101311,0.0
patient_id_2_303205_284529,0.0
patient_id_2_303201_269952,0.0
patient_id_2_303201_276110,0.0
patient_id_2_303201_276408,0.0
patient_id_2_303201_277202,0.0
patient_id_2_303201_98104,0.0
client_site,0.0
patient_id_2_303202_95100,0.0
patient_id_2_303205_265537,0.0
patient_id_2_303202_281138,0.0
patient_id_2_318601_179056,0.0
patient_id_2_303802_540943,0.0
weather_icon,0.0
patient_id_2_325512_199332,0.0
patient_id_2_29501_64206,0.0
patient_id_2_29501_63108,0.0
patient_id_2_28801_1538186,0.0
patient_id_2_25401_998,0.0
appointment_date_time_39,0.0
appointment_last_modified_date_0000,0.0
patient_id_2_25401_1003580,0.0
geocode_physicalenv,0.0
patient_id_2_318601_157907,0.0
geocode_zip,0.0
geocode_socioeconomic,0.0
geocode_clinicalcare,0.0
geocode_healthybehaviors,0.0
geocode_lengthlife,0.0
geocode_latitude,0.0
geocode_stusab,0.0
geocode_state,0.0
patient_id_2_325510_112863,0.0
patient_id_2_325507_198501,0.0
zipcode,0.0
patient_id_2_325504_60695,0.0
patient_id_2_318601_160166,0.0
patient_id_2_318601_164221,0.0
patient_id_2_318601_166086,0.0
patient_id_2_318601_177387,0.0
patient_id_2_318601_177968,0.0
geocode_county,0.0
appointment_date_year,0.0
patient_id_2_318601_71893,0.0
patient_id_2_318601_75698,0.0
patient_id_2_318602_169697,0.0
patient_id_2_318602_170851,0.0
patient_id_2_318602_175840,0.0
patient_id_2_318603_172752,0.0
patient_id_2_318604_71653,0.0
patient_id_2_325501_148923,0.0
patient_id_2_325502_338364,0.0
patient_id_2_325503_140260,0.0
patient_id_2_300602_298172,0.0
