feature,mean_importance
appointment_date_time_09,0.0006319973787924704
appointment_date_time_52,0.0006640456802519346
appointment_date_time_2017,0.0006731438857088933
appointment_last_modified_date_35,0.0006841439409909667
appointment_start_time_hour,0.0006898816998546331
appointment_date_time_57,0.0006960592805061339
appointment_scheduled_date_24,0.000736986648705118
appointment_scheduled_date_30,0.0007418359901540161
appointment_date_time_21,0.0007600079293615502
appointment_last_modified_date_10,0.000765378565919439
patient_id_2_25401_1477,0.0007804021569937869
appointment_date_time_33,0.000793024981920043
appointment_last_modified_date_04,0.0008534299288294855
appointment_last_modified_date_24,0.0008710052880181229
zipcode,0.0008731676307170866
appointment_date_time_11,0.0008801961388094637
appointment_last_modified_date_15,0.0009028996438245396
appointment_scheduled_date_56,0.0009456968463549487
appointment_last_modified_date_48,0.0009469309613509558
appointment_date_time_18,0.0009635955043207467
appointment_last_modified_date_12,0.0009871493362853978
appointment_date_time_50,0.000987182671612874
appointment_date_time_54,0.0010172259068240374
appointment_date_time_00,0.0010210577266300813
appointment_scheduled_date_19,0.0010939628501672738
appointment_last_modified_date_23,0.0010943170188000284
appointment_last_modified_date_02,0.001152336809808474
appointment_last_modified_date_29,0.0011710922357804688
appointment_scheduled_date_14,0.0011831299036946241
appointment_start_time,0.0011946935511367163
appointment_date_time_14,0.001235560185546536
appointment_last_modified_date_43,0.001236098167547306
appointment_scheduled_date_00,0.001264472924113713
appointment_date_time_58,0.0012848785092594683
appointment_date_time_51,0.0012953139376824852
appointment_date_time_49,0.0013041216180107451
appointment_last_modified_date_06,0.0013536360865279318
appointment_scheduled_date_35,0.0014157357971796736
appointment_date_time_20,0.001423686493235965
patient_id_2_303801_540943,0.001484770062602625
appointment_date_time_2021,0.0015050490920543113
appointment_last_modified_date_13,0.0015271994649442733
appointment_last_modified_date_11,0.0015362096112917834
appointment_date_time_53,0.0015423488101370618
appointment_last_modified_date_01,0.0015656109606662304
appointment_scheduled_date_51,0.0017303696479994968
appointment_date_time_36,0.0018448959097769446
appointment_scheduled_date_55,0.0018770819929230576
appointment_scheduled_date_25,0.001995485735267988
appointment_last_modified_date_56,0.002030064854037994
appointment_date_time_37,0.002132507929364924
appointment_last_modified_date_27,0.002169976516232053
patient_gender,0.0022485889207339736
appointment_date_time_12,0.002335170963404576
appointment_scheduled_date_2022,0.0024507736659146184
appointment_yosi_noshow2,0.0024728809539275145
weather_conditions,0.002554904705128325
appointment_date_time_2019,0.0026113388803335356
appointment_scheduled_date_2020,0.0027659017241396964
appointment_date_time_44,0.0034593309705008403
appointment_date_year,0.0041858416997604285
appointment_scheduled_date_2019,0.004498149260869844
appointment_scheduled_date_2021,0.005699533211408936
appointment_type,0.005809141477289614
appointment_date,0.007090083754066534
custom_client_site,0.00948355385329307
appointment_scheduled_date_2018,0.014758765185446998
patient_zipcode_x,0.02431770705934162
custom_client,0.024650348731209904
practice_id,0.026308356718068936
patient_id,0.0283445244845665
appointment_id,0.033441716987387446
client_site,0.054022327610822964
id,0.15729334953923496
patient_age_groupper,0.5268264157054798
